name,asset_type,is_loop,duration_sec,resolution,server_file_path,file_hash,reuse_count,source,confidence,needs_human,notes
01_South Africa Safari Promotional Poster (Facebook Post).png,graphic,false,,940x788,Media/Assets/01_South Africa Safari Promotional Poster (Facebook Post).png,b3063af2ce2e20ed49fdc95869a8d455508b06aaefd49528dad4cb355649c88a,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
logo-gap26.png,graphic,false,,451x170,Media/Assets/logo-gap26.png,929bf1b9345f3adebfdec75d9d362ad63bc4feda519032fc06f561882ce5a44b,16,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
Mancini QR.png,graphic,false,,596x595,Media/Assets/Mancini QR.png,a7c9c781d5f72a0877b27080b2fbb6f568595b6dd48ca929b5e64c6fd35a628e,7,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
americareadsthebible.com qr code.png,graphic,false,,148x148,Media/Assets/americareadsthebible.com qr code.png,e8cc0c1b95383f72f7b8f38bcd5d76858bb0dcd10ad62ba663da5505f3ba365a,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
1.png,graphic,false,,1920x1080,Media/Assets/1.png,df385e4311c4b411fbfe1b0b28c10078f789ab72a1be13326aaaa8204126e556,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
qrcode.png,graphic,false,,164x164,Media/Assets/qrcode.png,64116d3247746d1648c5798200a0270d58937ac385c2e866d87e593268b5c570,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
2.png,graphic,false,,1920x1080,Media/Assets/2.png,717d9077726c418260d3244f21b89b095ddfdfaf511eca8ddd0b29ac57532765,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
Freedom Salute 03 - Slow - 4K.mp4,clip_with_audio,false,30.0,3840x2160,Media/Assets/Freedom Salute 03 - Slow - 4K.mp4,95fdc87669a69920ec6c1026fd2ceed286f6fbc0fe856d899dfa6d7ba8446f11,8,propres_ssd,high,false,duplicate content (same hash as Freedom Salute 03 - Slow - 4K.mp4)
Gap logo.png,graphic,false,,4000x2000,Media/Assets/Gap logo.png,c14c29f7ae835bcbe56ed587833f0e1b981ae62a95ede5a885b2573bf7f333d0,10,propres_ssd,high,false,duplicate content (same hash as Gap logo.png)
Gap logo-2.png,graphic,false,,4000x2000,Media/Assets/Gap logo-2.png,de7420b77a5b4dc25abc500a4945692ee6a3b4c4532c3f4b87b2b0829625a839,6,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
Freedom Salute 01 - 16x9.jpg,graphic,false,,1920x1080,Media/Assets/Freedom Salute 01 - 16x9.jpg,0ffaf2dd76749125ca40f4b270543176a92c75c0d0d90e542482bd6db7820eb4,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
Support GAP Here (1920 x 800 px) (1920 x 1080 px) (2)-1.png,graphic,false,,1920x1080,Media/Assets/Support GAP Here (1920 x 800 px) (1920 x 1080 px) (2)-1.png,9e84557c8e397335a0cd987d0f5e57d0429ba05987abbe458a6a4e3086bdc368,6,propres_ssd,high,false,duplicate content (same hash as Support GAP Here (1920 x 800 px) (1920 x 1080 px) (2)-1.png)
Bunni ARTB_Main Promo Video_A National Return To God's Word.mp4,clip_with_audio,false,167.18,1280x720,Media/Assets/Bunni ARTB_Main Promo Video_A National Return To God's Word.mp4,eb3056498f428c8f2c3b44ffb9a571021be83380a5d125967bbd3fe1a1c3870e,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
Curtis Dikoff--North Dakota (1).mov,clip_with_audio,false,115.11,1280x720,Media/Assets/Curtis Dikoff--North Dakota (1).mov,046616a298cccc5d111cc3ed88ba660b95f8f49b86abfafe8653d07efa90f72e,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
GAP Revival] Video Trey and Ariel v2.mp4,clip_with_audio,false,,,,,1,propres_ssd,low,true,referenced in .pro but file NOT found on SSD Media/ (may be external volume T7 ProTools)
%5BGAP Revival%5D Video Trey and Ariel v2.mp4,clip_with_audio,false,,,ofile:///Volumes/T7_ProTools/ProPresenter/Media/Assets/%5BGAP%20Revival%5D%20Video%20Trey%20and%20Ariel%20v2.mp4,,1,propres_ssd,low,true,referenced in .pro but file NOT found on SSD Media/ (may be external volume T7 ProTools)
